Data,Position,Conference,Conference Type,Receiving Team,Player,From School,Departing Conference
K Ian Hershey (from Idaho State),K ,Pac-12,Power 5,Arizona State,Ian Hershey,Idaho State,Big Sky
P Josh Carlson (from New Mexico State),P ,Pac-12,Power 5,Arizona State,osh Carlson,New Mexico State,Independents
LS Slater Zellers (from California),LS,Pac-12,Power 5,Arizona State,Slater Zellers,California,Pac-12
QB Sam Jackson (from TCU),QB,Pac-12,Power 5,California,Sam Jackson,TCU,Big 12
QB Ben Finley (from NC State),QB,Pac-12,Power 5,California,Ben Finley,NC State,ACC
QB Luke Bottari (from Utah),QB,Pac-12,Power 5,California,Luke Bottari,Utah,Pac-12
RB Byron Cardwell (from Oregon),RB,Pac-12,Power 5,California,Byron Cardwell,Oregon,Pac-12
RB King Doerue (from Purdue),RB,Pac-12,Power 5,California,King Doerue,Purdue,Big Ten
RB Isaiah Ifanse (from Montana State/San Jose State),RB,Pac-12,Power 5,California,Isaiah Ifanse,San Jose State,Mountain West
RB Justin Williams-Thomas (from Tennessee),RB,Pac-12,Power 5,California,Justin Williams-Thomas,Tennessee,SEC
WR Brian Hightower (from Illinois),WR,Pac-12,Power 5,California,Brian Hightower,Illinois,Big Ten
WR Taj Davis (from Washington),WR,Pac-12,Power 5,California,Taj Davis,Washington,Pac-12
WR Marquez Dortch (from Mississippi State),WR,Pac-12,Power 5,California,Marquez Dortch,Mississippi State,SEC
TE J.T. Byrne (from Oregon State),TE,Pac-12,Power 5,California,J.T. Byrne,Oregon State,Pac-12
TE Asher Alberding (from North Texas),TE,Pac-12,Power 5,California,Asher Alberding,North Texas,Conference USA
OL Matthew Wykoff (from Texas A&M),OL,Pac-12,Power 5,California,Matthew Wykoff,Texas A&M,SEC
OL Barrett Miller (from Stanford),OL,Pac-12,Power 5,California,Barrett Miller,Stanford,Pac-12
LB Sergio Allen (from Clemson),LB,Pac-12,Power 5,California,Sergio Allen,Clemson,ACC
LB David Reese (from Florida),LB,Pac-12,Power 5,California,David Reese,Florida,SEC
CB Nohl Williams (from UNLV),CB,Pac-12,Power 5,California,Nohl Williams,UNLV,Mountain West
CB Kaylin Moore (from Colorado),CB,Pac-12,Power 5,California,Kaylin Moore,Colorado,Pac-12
DB Marcus Scott (from Missouri),DB,Pac-12,Power 5,California,Marcus Scott,Missouri,SEC
S Patrick McMorris (from San Diego State),S ,Pac-12,Power 5,California,atrick McMorris,San Diego State,Mountain West
P Lachlan Wilson (from Tulsa),P ,Pac-12,Power 5,California,achlan Wilson,Tulsa,American Athletic Conference
QB Shedeur Sanders (from Jackson State),QB,Pac-12,Power 5,Colorado,Shedeur Sanders,Jackson State,SWAC
RB Alton McCaskill (from Houston),RB,Pac-12,Power 5,Colorado,Alton McCaskill,Houston,American Athletic Conference
RB Kavosiey Smoke (from Kentucky),RB,Pac-12,Power 5,Colorado,Kavosiey Smoke,Kentucky,SEC
RB Sy'veon Wilkerson (from Jackson State),RB,Pac-12,Power 5,Colorado,Sy'veon Wilkerson,Jackson State,SWAC
WR Jimmy Horn (from USF),WR,Pac-12,Power 5,Colorado,Jimmy Horn,USF,American Athletic Conference
WR Tar'Varish Dawson (from Auburn),WR,Pac-12,Power 5,Colorado,Tar'Varish Dawson,Auburn,SEC
WR Xavier Weaver (from USF),WR,Pac-12,Power 5,Colorado,Xavier Weaver,USF,American Athletic Conference
WR Jaylen Ellis (from Baylor),WR,Pac-12,Power 5,Colorado,Jaylen Ellis,Baylor,Big 12
WR Javon Antonio (from Northwestern State),WR,Pac-12,Power 5,Colorado,Javon Antonio,Northwestern State,Southland
WR Willie Gaines (from Jackson State),WR,Pac-12,Power 5,Colorado,Willie Gaines,Jackson State,SWAC
TE Champion Johnson (from California),TE,Pac-12,Power 5,Colorado,Champion Johnson,California,Pac-12
TE Elijah Yelverton (from Iowa),TE,Pac-12,Power 5,Colorado,Elijah Yelverton,Iowa,Big Ten
OL Savion Washington (from Kent State),OL,Pac-12,Power 5,Colorado,Savion Washington,Kent State,MAC
OL Landon Bebee (from Missouri State),OL,Pac-12,Power 5,Colorado,Landon Bebee,Missouri State,Missouri Valley
OL Reggie Young (from Liberty),OL,Pac-12,Power 5,Colorado,Reggie Young,Liberty,Independents
OL David Conner (from Florida),OL,Pac-12,Power 5,Colorado,David Conner,Florida,SEC
OL Jack Bailey (from Kent State),OL,Pac-12,Power 5,Colorado,Jack Bailey,Kent State,MAC
OL Tyler Brown (from Jackson State),OL,Pac-12,Power 5,Colorado,Tyler Brown,Jackson State,SWAC
DL Taijh Alston (from West Virginia),DL,Pac-12,Power 5,Colorado,Taijh Alston,West Virginia,Big 12
DL Bishop Thomas (from Florida State),DL,Pac-12,Power 5,Colorado,Bishop Thomas,Florida State,ACC
DL Sav'ell Smalls (from Washington),DL,Pac-12,Power 5,Colorado,Sav'ell Smalls,Washington,Pac-12
DL Arden Walker (from Missouri),DL,Pac-12,Power 5,Colorado,Arden Walker,Missouri,SEC
DL Khairi Manns (from Maine),DL,Pac-12,Power 5,Colorado,Khairi Manns,Maine,CAA
DL JJ Hawkins (from Ole Miss),DL,Pac-12,Power 5,Colorado,JJ Hawkins,Ole Miss,SEC
DL Derrick McClendon (from Florida State),DL,Pac-12,Power 5,Colorado,Derrick McClendon,Florida State,ACC
DL Amari McNeill (from Tennessee),DL,Pac-12,Power 5,Colorado,Amari McNeill,Tennessee,SEC
DL Deeve Harris (from Old Dominion),DL,Pac-12,Power 5,Colorado,Deeve Harris,Old Dominion,Sun Belt
DL Chazz Wallace (from Old Dominion),DL,Pac-12,Power 5,Colorado,Chazz Wallace,Old Dominion,Sun Belt
DL Shane Cokes (from Monmouth),DL,Pac-12,Power 5,Colorado,Shane Cokes,Monmouth,CAA
DL Tristan Marois (from Robert Morris),DL,Pac-12,Power 5,Colorado,Tristan Marois,Robert Morris,Big South-OVC
DL Jordan Domineck (from Arkansas),DL,Pac-12,Power 5,Colorado,Jordan Domineck,Arkansas,SEC
DL/LB Jeremiah Brown (from Jackson State),DL,Pac-12,Power 5,Colorado,LB Jeremiah Brown,Jackson State,SWAC
DL Leonard Payne (from Fresno State),DL,Pac-12,Power 5,Colorado,Leonard Payne,Fresno State,Mountain West
LB LaVonta Bentley (from Clemson),LB,Pac-12,Power 5,Colorado,LaVonta Bentley,Clemson,ACC
LB Brendan Gant (from Florida State),LB,Pac-12,Power 5,Colorado,Brendan Gant,Florida State,ACC
LB Juwan Mitchell (from Arizona State),LB,Pac-12,Power 5,Colorado,Juwan Mitchell,Arizona State,Pac-12
LB Demouy Kennedy (from Alabama),LB,Pac-12,Power 5,Colorado,Demouy Kennedy,Alabama,SEC
DB/WR Travis Hunter (from Jackson State),DB,Pac-12,Power 5,Colorado,WR Travis Hunter,Jackson State,SWAC
DB Travis Jay (from Florida State),DB,Pac-12,Power 5,Colorado,Travis Jay,Florida State,ACC
DB Myles Slusher (from Arkansas),DB,Pac-12,Power 5,Colorado,Myles Slusher,Arkansas,SEC
DB Jahquez Robinson (from Alabama),DB,Pac-12,Power 5,Colorado,Jahquez Robinson,Alabama,SEC
DB Cam'Ron Silmon-Craig (from Jackson State),DB,Pac-12,Power 5,Colorado,Cam'Ron Silmon-Craig,Jackson State,SWAC
DB Kyndrich Breedlove (from Ole Miss),DB,Pac-12,Power 5,Colorado,Kyndrich Breedlove,Ole Miss,SEC
DB Shilo Sanders (from Jackson State),DB,Pac-12,Power 5,Colorado,Shilo Sanders,Jackson State,SWAC
DB Omarion Cooper (from Florida State),DB,Pac-12,Power 5,Colorado,Omarion Cooper,Florida State,ACC
DB Rodrick Ward (from Southern Utah),DB,Pac-12,Power 5,Colorado,Rodrick Ward,Southern Utah,UAC
S Vito Tisdale (from Kentucky),S ,Pac-12,Power 5,Colorado,ito Tisdale,Kentucky,SEC
K Alejandro Mata (from Jackson State),K ,Pac-12,Power 5,Colorado,Alejandro Mata,Jackson State,SWAC
K Jace Feely (from Arizona State),K ,Pac-12,Power 5,Colorado,Jace Feely,Arizona State,Pac-12
P Mark Vassett (from Louisville),P ,Pac-12,Power 5,Colorado,ark Vassett,Louisville,ACC
LS Jacob Politte (from Jackson State),LS,Pac-12,Power 5,Colorado,Jacob Politte,Jackson State,SWAC
LS Gabe Landers (from Miami),LS,Pac-12,Power 5,Colorado,Gabe Landers,Miami,ACC
WR Tez Johnson (from Troy),WR,Pac-12,Power 5,Oregon,Tez Johnson,Troy,Sun Belt
WR Traeshon Holden (from Alabama),WR,Pac-12,Power 5,Oregon,Traeshon Holden,Alabama,SEC
WR Gary Bryant (from USC),WR,Pac-12,Power 5,Oregon,Gary Bryant,USC,Pac-12
TE Casey Kelly (from Ole Miss),TE,Pac-12,Power 5,Oregon,Casey Kelly,Ole Miss,SEC
TE Kaden Ludwick (from Colorado),TE,Pac-12,Power 5,Oregon,Kaden Ludwick,Colorado,Pac-12
OL Junior Angilau (from Texas),OL,Pac-12,Power 5,Oregon,Junior Angilau,Texas,Big 12
OL Ajani Cornelius (from Rhode Island),OL,Pac-12,Power 5,Oregon,Ajani Cornelius,Rhode Island,CAA
OL Nishad Strother (from East Carolina),OL,Pac-12,Power 5,Oregon,Nishad Strother,East Carolina,American Athletic Conference
DL Jordan Burch (from South Carolina),DL,Pac-12,Power 5,Oregon,Jordan Burch,South Carolina,SEC
LB Jestin Jacobs (from Iowa),LB,Pac-12,Power 5,Oregon,Jestin Jacobs,Iowa,Big Ten
LB Connor Soelle (from Arizona State),LB,Pac-12,Power 5,Oregon,Connor Soelle,Arizona State,Pac-12
CB Khyree Jackson (from Alabama),CB,Pac-12,Power 5,Oregon,Khyree Jackson,Alabama,SEC
S Evan Williams (from Fresno State),S ,Pac-12,Power 5,Oregon,van Williams,Fresno State,Mountain West
DB Tysheem Johnson (from Ole Miss),DB,Pac-12,Power 5,Oregon,Tysheem Johnson,Ole Miss,SEC
DB Nikko Reed (from Colorado),DB,Pac-12,Power 5,Oregon,Nikko Reed,Colorado,Pac-12
P Matthew Rigney (from Austin Peay),P ,Pac-12,Power 5,Oregon,atthew Rigney,Austin Peay,UAC
QB DJ Uiagalelei (from Clemson),QB,Pac-12,Power 5,Oregon State,DJ Uiagalelei,Clemson,ACC
TE Jermaine Terry (from California),TE,Pac-12,Power 5,Oregon State,Jermaine Terry,California,Pac-12
OL Grant Starck (from Nevada),OL,Pac-12,Power 5,Oregon State,Grant Starck,Nevada,Mountain West
DL Jacob Schuster (from Minnesota),DL,Pac-12,Power 5,Oregon State,Jacob Schuster,Minnesota,Big Ten
DL Oluwaseyi Omotosho (from Wyoming),DL,Pac-12,Power 5,Oregon State,Oluwaseyi Omotosho,Wyoming,Mountain West
LB Mason Tufaga (from Utah),LB,Pac-12,Power 5,Oregon State,Mason Tufaga,Utah,Pac-12
LB Calvin Hart (from Illinois),LB,Pac-12,Power 5,Oregon State,Calvin Hart,Illinois,Big Ten
QB Justin Lamson (from Syracuse),QB,Pac-12,Power 5,Stanford,Justin Lamson,Syracuse,ACC
RB Ryan Butler (from Princeton),RB,Pac-12,Power 5,Stanford,Ryan Butler,Princeton,Ivy
TE Chico Holt (from Northwestern),TE,Pac-12,Power 5,Stanford,Chico Holt,Northwestern,Big Ten
OL Alec Bank (from Harvard),OL,Pac-12,Power 5,Stanford,Alec Bank,Harvard,Ivy
OL Trevor Mayberry (from Penn),OL,Pac-12,Power 5,Stanford,Trevor Mayberry,Penn,Ivy
LB Gaethan Bernadel (from FIU),LB,Pac-12,Power 5,Stanford,Gaethan Bernadel,FIU,Conference USA
LB Spencer Lytle (from Wisconsin),LB,Pac-12,Power 5,Stanford,Spencer Lytle,Wisconsin,Big Ten
QB Colin Schlee (from Kent State),QB,Pac-12,Power 5,UCLA,Colin Schlee,Kent State,MAC
RB Anthony Adkins (from Army),RB,Pac-12,Power 5,UCLA,Anthony Adkins,Army,#N/A
RB Carson Steele (from Ball State),RB,Pac-12,Power 5,UCLA,Carson Steele,Ball State,MAC
WR J. Michael Sturdivant (from California),WR,Pac-12,Power 5,UCLA,J. Michael Sturdivant,California,Pac-12
WR Kyle Ford (from USC),WR,Pac-12,Power 5,UCLA,Kyle Ford,USC,Pac-12
TE Moliki Matavao (from Oregon),TE,Pac-12,Power 5,UCLA,Moliki Matavao,Oregon,Pac-12
OL Spencer Holstege (from Purdue),OL,Pac-12,Power 5,UCLA,Spencer Holstege,Purdue,Big Ten
OL Jake Wiley (from Colorado),OL,Pac-12,Power 5,UCLA,Jake Wiley,Colorado,Pac-12
OL Khadere Kounta (from Old Dominion),OL,Pac-12,Power 5,UCLA,Khadere Kounta,Old Dominion,Sun Belt
DL Jake Heimlicher (from Penn),DL,Pac-12,Power 5,UCLA,Jake Heimlicher,Penn,Ivy
DL Keanu Williams (from Oregon),DL,Pac-12,Power 5,UCLA,Keanu Williams,Oregon,Pac-12
LB Oluwafemi Oladejo (from California),LB,Pac-12,Power 5,UCLA,Oluwafemi Oladejo,California,Pac-12
DB Jordan Anderson (from Bowling Green),DB,Pac-12,Power 5,UCLA,Jordan Anderson,Bowling Green,MAC
K Blake Glessner (from Montana State),K ,Pac-12,Power 5,UCLA,Blake Glessner,Montana State,Big Sky
P Will Powers (from Princeton),P ,Pac-12,Power 5,UCLA,ill Powers,Princeton,Ivy
RB MarShawn Lloyd (from South Carolina),RB,Pac-12,Power 5,USC,MarShawn Lloyd,South Carolina,SEC
WR Dorian Singer (from Arizona),WR,Pac-12,Power 5,USC,Dorian Singer,Arizona,Pac-12
OL Michael Tarquin (from Florida),OL,Pac-12,Power 5,USC,Michael Tarquin,Florida,SEC
OL Emmanuel Pregnon (from Wyoming),OL,Pac-12,Power 5,USC,Emmanuel Pregnon,Wyoming,Mountain West
OL Jarrett Kingston (from Washington State),OL,Pac-12,Power 5,USC,Jarrett Kingston,Washington State,Pac-12
DL Kyon Barrs (from Arizona),DL,Pac-12,Power 5,USC,Kyon Barrs,Arizona,Pac-12
DL Anthony Lucas (from Texas A&M),DL,Pac-12,Power 5,USC,Anthony Lucas,Texas A&M,SEC
DL Bear Alexander (from Georgia),DL,Pac-12,Power 5,USC,Bear Alexander,Georgia,SEC
DL Jack Sullivan (from Purdue),DL,Pac-12,Power 5,USC,Jack Sullivan,Purdue,Big Ten
LB Jamil Muhammad (from Georgia State),LB,Pac-12,Power 5,USC,Jamil Muhammad,Georgia State,Sun Belt
LB Mason Cobb (from Oklahoma State),LB,Pac-12,Power 5,USC,Mason Cobb,Oklahoma State,Big 12
CB Christian Roland-Wallace (from Arizona),CB,Pac-12,Power 5,USC,Christian Roland-Wallace,Arizona,Pac-12
DB Tre'Quon Fegans (from Alabama),DB,Pac-12,Power 5,USC,Tre'Quon Fegans,Alabama,SEC
P Eddie Czaplicki (from Arizona State),P ,Pac-12,Power 5,USC,ddie Czaplicki,Arizona State,Pac-12
WR Emery Simmons (from Indiana),WR,Pac-12,Power 5,Utah,Emery Simmons,Indiana,Big Ten
WR Mycah Pittman (from Florida State),WR,Pac-12,Power 5,Utah,Mycah Pittman,Florida State,ACC
TE Landen King (from Auburn),TE,Pac-12,Power 5,Utah,Landen King,Auburn,SEC
DL Logan Fano (from BYU),DL,Pac-12,Power 5,Utah,Logan Fano,BYU,Independents
LB Levani Damuni (from Stanford),LB,Pac-12,Power 5,Utah,Levani Damuni,Stanford,Pac-12
DB Miles Battle (from Ole Miss),DB,Pac-12,Power 5,Utah,Miles Battle,Ole Miss,SEC
DB Briton Allen (from USC),DB,Pac-12,Power 5,Utah,Briton Allen,USC,Pac-12
K Cole Becker (from Colorado),K ,Pac-12,Power 5,Utah,Cole Becker,Colorado,Pac-12
RB Daniyel Ngata (from Arizona State),RB,Pac-12,Power 5,Washington,Daniyel Ngata,Arizona State,Pac-12
RB Dillon Johnson (from Mississippi State),RB,Pac-12,Power 5,Washington,Dillon Johnson,Mississippi State,SEC
WR Germie Bernard (from Michigan State),WR,Pac-12,Power 5,Washington,Germie Bernard,Michigan State,Big Ten
TE Josh Cuevas (from Cal Poly),TE,Pac-12,Power 5,Washington,Josh Cuevas,Cal Poly,Big Sky
OL Jalen Klemm (from Kansas State),OL,Pac-12,Power 5,Washington,Jalen Klemm,Kansas State,Big 12
DL Zach Durfree (from University of Sioux Falls),DL,Pac-12,Power 5,Washington,Zach Durfree,University of Sioux Falls,#N/A
LB Ralen Goforth (from USC),LB,Pac-12,Power 5,Washington,Ralen Goforth,USC,Pac-12
LB Braydon Bruener (from Oregon State),LB,Pac-12,Power 5,Washington,Braydon Bruener,Oregon State,Pac-12
CB Jabbar Muhammad (from Oklahoma State),CB,Pac-12,Power 5,Washington,Jabbar Muhammad,Oklahoma State,Big 12
DB Darren Barkins (from Oregon),DB,Pac-12,Power 5,Washington,Darren Barkins,Oregon,Pac-12
WR Isaiah Hamilton (from San Jose State),WR,Pac-12,Power 5,Washington State,Isaiah Hamilton,San Jose State,Mountain West
WR Kyle Williams (from UNLV),WR,Pac-12,Power 5,Washington State,Kyle Williams,UNLV,Mountain West
WR Josh Kelly (from Fresno State),WR,Pac-12,Power 5,Washington State,Josh Kelly,Fresno State,Mountain West
OL Christy Nkanu (from Southern Utah),OL,Pac-12,Power 5,Washington State,Christy Nkanu,Southern Utah,UAC
DL Na'im Rodman (from Colorado),DL,Pac-12,Power 5,Washington State,Na'im Rodman,Colorado,Pac-12
LB Devin Richardson (from Texas),LB,Pac-12,Power 5,Washington State,Devin Richardson,Texas,Big 12
LB Ahmad McCullough (from Maryland),LB,Pac-12,Power 5,Washington State,Ahmad McCullough,Maryland,Big Ten
LB Davon Hicks (from USF),LB,Pac-12,Power 5,Washington State,Davon Hicks,USF,American Athletic Conference
DB Dominic Tatum (from Utah State),DB,Pac-12,Power 5,Washington State,Dominic Tatum,Utah State,Mountain West
QB Tyler Buchner (from Notre Dame),QB,SEC,Power 5,Alabama,Tyler Buchner,Notre Dame,Independents
TE CJ Dippre (from Maryland),TE,SEC,Power 5,Alabama,CJ Dippre,Maryland,Big Ten
LB Trezmen Marshall (from Georgia),LB,SEC,Power 5,Alabama,Trezmen Marshall,Georgia,SEC
DB Trey Amos (from Louisiana),DB,SEC,Power 5,Alabama,Trey Amos,Louisiana,Sun Belt
DB Jaylen Key (from UAB),DB,SEC,Power 5,Alabama,Jaylen Key,UAB,Conference USA
QB Jacolby Criswell (from North Carolina),QB,SEC,Power 5,Arkansas,Jacolby Criswell,North Carolina,ACC
WR Andrew Armstrong (from Texas A&M-Commerce),WR,SEC,Power 5,Arkansas,Andrew Armstrong,Texas A&M-Commerce,#N/A
WR Marlon Crockett (from Memphis),WR,SEC,Power 5,Arkansas,Marlon Crockett,Memphis,American Athletic Conference
WR Tyrone Broden (from Bowling Green),WR,SEC,Power 5,Arkansas,Tyrone Broden,Bowling Green,MAC
WR Isaac TeSlaa (from Hillsdale College),WR,SEC,Power 5,Arkansas,Isaac TeSlaa,Hillsdale College,#N/A
TE Var'Keyes Gumms (from North Texas),TE,SEC,Power 5,Arkansas,Var'Keyes Gumms,North Texas,Conference USA
TE Francis Sherman (from Louisville),TE,SEC,Power 5,Arkansas,Francis Sherman,Louisville,ACC
OL Josh Braun (from Florida),OL,SEC,Power 5,Arkansas,Josh Braun,Florida,SEC
DL John Morgan (from Pitt),DL,SEC,Power 5,Arkansas,John Morgan,Pitt,ACC
DL Keivie Rose (from Louisiana Tech),DL,SEC,Power 5,Arkansas,Keivie Rose,Louisiana Tech,Conference USA
DL Anthony Booker (from Maryland),DL,SEC,Power 5,Arkansas,Anthony Booker,Maryland,Big Ten
DL Trajan Jeffcoat (from Missouri),DL,SEC,Power 5,Arkansas,Trajan Jeffcoat,Missouri,SEC
LB Antonio Grier (from USF),LB,SEC,Power 5,Arkansas,Antonio Grier,USF,American Athletic Conference
LB Jaheim Thomas (from Cincinnati),LB,SEC,Power 5,Arkansas,Jaheim Thomas,Cincinnati,American Athletic Conference
DB Al Walcott (from Baylor),DB,SEC,Power 5,Arkansas,Al Walcott,Baylor,Big 12
DB Jaheim Singletary (from Georgia),DB,SEC,Power 5,Arkansas,Jaheim Singletary,Georgia,SEC
DB Lorando Johnson (from Baylor),DB,SEC,Power 5,Arkansas,Lorando Johnson,Baylor,Big 12
DB Kee'yon Stewart (from TCU),DB,SEC,Power 5,Arkansas,Kee'yon Stewart,TCU,Big 12
P Devin Bale (from Northern Colorado),P ,SEC,Power 5,Arkansas,Devin Bale,Northern Colorado,Big Sky
QB Payton Thorne (from Michigan State),QB,SEC,Power 5,Auburn,Payton Thorne,Michigan State,Big Ten
RB Brian Battie (from USF),RB,SEC,Power 5,Auburn,Brian Battie,USF,American Athletic Conference
WR Nick Mardner (from Cincinnati),WR,SEC,Power 5,Auburn,Nick Mardner,Cincinnati,American Athletic Conference
WR Jyaire Shorter (from North Texas),WR,SEC,Power 5,Auburn,Jyaire Shorter,North Texas,Conference USA
WR Caleb Burton (from Ohio State),WR,SEC,Power 5,Auburn,Caleb Burton,Ohio State,Big Ten
WR Shane Hooks (from Jackson State),WR,SEC,Power 5,Auburn,Shane Hooks,Jackson State,SWAC
TE Rivaldo Fairweather (from FIU),TE,SEC,Power 5,Auburn,Rivaldo Fairweather,FIU,Conference USA
OL Dillon Wade (from Tulsa),OL,SEC,Power 5,Auburn,Dillon Wade,Tulsa,American Athletic Conference
OL Jaden Muskrat (from Tulsa),OL,SEC,Power 5,Auburn,Jaden Muskrat,Tulsa,American Athletic Conference
OL Avery Jones (from East Carolina),OL,SEC,Power 5,Auburn,Avery Jones,East Carolina,American Athletic Conference
OL Dylan Senda (from Northwestern),OL,SEC,Power 5,Auburn,Dylan Senda,Northwestern,Big Ten
OL Gunner Britton (from Western Kentucky),OL,SEC,Power 5,Auburn,Gunner Britton,Western Kentucky,Conference USA
DL Justin Rogers (from Kentucky),DL,SEC,Power 5,Auburn,Justin Rogers,Kentucky,SEC
DL Lawrence Johnson (from Purdue),DL,SEC,Power 5,Auburn,Lawrence Johnson,Purdue,Big Ten
DL Stephen Sings (from Liberty),DL,SEC,Power 5,Auburn,Stephen Sings,Liberty,Independents
DL Mosiah Nasili-Kite (from Maryland),DL,SEC,Power 5,Auburn,Mosiah Nasili-Kite,Maryland,Big Ten
DL Elijah McAllister (from Vanderbilt),DL,SEC,Power 5,Auburn,Elijah McAllister,Vanderbilt,SEC
LB Larry Nixon (from North Texas),LB,SEC,Power 5,Auburn,Larry Nixon,North Texas,Conference USA
LB Jalen McLeod (from Appalachian State),LB,SEC,Power 5,Auburn,Jalen McLeod,Appalachian State,Sun Belt
LB Austin Keys (from Ole Miss),LB,SEC,Power 5,Auburn,Austin Keys,Ole Miss,SEC
QB Graham Mertz (from Wisconsin),QB,SEC,Power 5,Florida,Graham Mertz,Wisconsin,Big Ten
RB Cameron Carroll (from Tulane),RB,SEC,Power 5,Florida,Cameron Carroll,Tulane,American Athletic Conference
OL Damieon George (from Alabama),OL,SEC,Power 5,Florida,Damieon George,Alabama,SEC
OL Micah Mazzccua (from Baylor),OL,SEC,Power 5,Florida,Micah Mazzccua,Baylor,Big 12
OL Lyndell Hudson (from FIU),OL,SEC,Power 5,Florida,Lyndell Hudson,FIU,Conference USA
DL Caleb Banks (from Louisville),DL,SEC,Power 5,Florida,Caleb Banks,Louisville,ACC
DL Cam'Ron Jackson (from Memphis),DL,SEC,Power 5,Florida,Cam'Ron Jackson,Memphis,American Athletic Conference
LB Teradja Mitchell (from Ohio State),LB,SEC,Power 5,Florida,Teradja Mitchell,Ohio State,Big Ten
LB Mannie Nunnery (from Houston),LB,SEC,Power 5,Florida,Mannie Nunnery,Houston,American Athletic Conference
LB Deuce Spurlock (from Michigan),LB,SEC,Power 5,Florida,Deuce Spurlock,Michigan,Big Ten
S R.J. Moten (from Michigan),S ,SEC,Power 5,Florida,R.J. Moten,Michigan,Big Ten
RB Len'Neth Whitehead (from Tennessee),RB,SEC,Power 5,Georgia,Len'Neth Whitehead,Tennessee,SEC
WR Dominic Lovett (from Missouri),WR,SEC,Power 5,Georgia,Dominic Lovett,Missouri,SEC
WR RaRa Thomas (from Mississippi State),WR,SEC,Power 5,Georgia,RaRa Thomas,Mississippi State,SEC
QB Devin Leary (from NC State),QB,SEC,Power 5,Kentucky,Devin Leary,NC State,ACC
RB Ray Davis (from Vanderbilt),RB,SEC,Power 5,Kentucky,Ray Davis,Vanderbilt,SEC
RB Demie Sumo-Karngbaye (from NC State),RB,SEC,Power 5,Kentucky,Demie Sumo-Karngbaye,NC State,ACC
OL Tanner Bowles (from Alabama),OL,SEC,Power 5,Kentucky,Tanner Bowles,Alabama,SEC
OL Marques Cox (from Northern Illinois),OL,SEC,Power 5,Kentucky,Marques Cox,Northern Illinois,MAC
OL Courtland Ford (from USC),OL,SEC,Power 5,Kentucky,Courtland Ford,USC,Pac-12
OL Ben Christman (from Ohio State),OL,SEC,Power 5,Kentucky,Ben Christman,Ohio State,Big Ten
OL Dylan Ray (from West Virginia),OL,SEC,Power 5,Kentucky,Dylan Ray,West Virginia,Big 12
DL Keeshawn Silver (from North Carolina),DL,SEC,Power 5,Kentucky,Keeshawn Silver,North Carolina,ACC
LB Daveren Rayner (from Northern Illinois),LB,SEC,Power 5,Kentucky,Daveren Rayner,Northern Illinois,MAC
LB Jaquez Keyes (from Wake Forest),LB,SEC,Power 5,Kentucky,Jaquez Keyes,Wake Forest,ACC
CB JQ Hardaway (from Cincinnati),CB,SEC,Power 5,Kentucky,JQ Hardaway,Cincinnati,American Athletic Conference
DB Jantzen Dunn (from Ohio State),DB,SEC,Power 5,Kentucky,Jantzen Dunn,Ohio State,Big Ten
K Alex Raynor (from Georgia Southern),K ,SEC,Power 5,Kentucky,Alex Raynor,Georgia Southern,Sun Belt
RB Logan Diggs (from Notre Dame),RB,SEC,Power 5,LSU,Logan Diggs,Notre Dame,Independents
WR Aaron Anderson (from Alabama),WR,SEC,Power 5,LSU,Aaron Anderson,Alabama,SEC
OL Mason Lunsford (from Maryland),OL,SEC,Power 5,LSU,Mason Lunsford,Maryland,Big Ten
DL Paris Shand (from Arizona),DL,SEC,Power 5,LSU,Paris Shand,Arizona,Pac-12
DL Jalen Lee (from Florida),DL,SEC,Power 5,LSU,Jalen Lee,Florida,SEC
DL Jordan Jefferson (from West Virginia),DL,SEC,Power 5,LSU,Jordan Jefferson,West Virginia,Big 12
DL Bradyn Swinson (from Oregon),DL,SEC,Power 5,LSU,Bradyn Swinson,Oregon,Pac-12
DL/LB Ovie Oghoufo (from Texas),DL,SEC,Power 5,LSU,LB Ovie Oghoufo,Texas,Big 12
LB Omar Speights (from Oregon State),LB,SEC,Power 5,LSU,Omar Speights,Oregon State,Pac-12
CB Denver Harris (from Texas A&M),CB,SEC,Power 5,LSU,Denver Harris,Texas A&M,SEC
DB Duce Chestnut (from Syracuse),DB,SEC,Power 5,LSU,Duce Chestnut,Syracuse,ACC
DB Andre Sam (from Marshall),DB,SEC,Power 5,LSU,Andre Sam,Marshall,Sun Belt
DB JK Johnson (from Ohio State),DB,SEC,Power 5,LSU,JK Johnson,Ohio State,Big Ten
DB A'Zyrian Alexander (from Southeastern Louisiana),DB,SEC,Power 5,LSU,A'Zyrian Alexander,Southeastern Louisiana,Southland
QB Walker Howard (from LSU),QB,SEC,Power 5,Ole Miss,Walker Howard,LSU,SEC
QB Spencer Sanders (from Oklahoma State),QB,SEC,Power 5,Ole Miss,Spencer Sanders,Oklahoma State,Big 12
RB Jamious Griffin (from Oregon State),RB,SEC,Power 5,Ole Miss,Jamious Griffin,Oregon State,Pac-12
WR Tre Harris (from Louisiana Tech),WR,SEC,Power 5,Ole Miss,Tre Harris,Louisiana Tech,Conference USA
WR Zakhari Franklin (from UTSA),WR,SEC,Power 5,Ole Miss,Zakhari Franklin,UTSA,Conference USA
